topic0,darub,off,hinaus,klar,stellt,fest,steht,stell,bleib,zunach,bleibt,zukunft,unklar,gestellt,bislang,wann,genau,vollig,liess,konkret,moglicherweis,aussicht,zeitpunkt,weiterhin,durft,entschied,wahrschein,auss,bevor,zweit,klarheit,dar,kommt,blieb,heisst,erwart,lang,detail,aussag,ledig,ausgeschloss,ungewiss,besteh,geklart,endgult,danach,diskutiert,dritt,gemacht,besteht,option,denkbar,genannt,uberhaupt,rechn,dau,leg,stand,wort,sag,lauf,zweifel,weich,lieg,vorerst,ebenfall,deshalb,innerhalb,eindeut,vorstell,gescheh,nenn,schliess,bisher,anfang,sowohl,spatest,fuhr,gesproch,reih,daran,zumind,angesicht,ausseh,wed,schliesst,gelt,sicht,letzt,diskussion,tur,eventuell,zustand,ausgang,gegeb,uberleg,unsich,hintergrund,einschatz,festleg
topic145,itali,italien,rom,mailand,berlusconi,fiat,la_repubblica,mitt,lir,della,corri,sera,prodi,turin,link,silvio_berlusconi,olivetti,banca,spa,recht,romisch,berlusconis,di,nord,telecom_italia,mafia,il,romano_prodi,parmalat,dini,ministerprasident,ciampi,zeitung,allianz,pirelli,milliarden_lire,liga,paolo,enel,agnelli,steht,römische_zeitung,bossi,benetton,amato,national,senat,dalema,messaggero,grupp,mediobanca,lega,andreotti,scalfaro,massimo,fini,san,italienische_regierung,neapel,staatlich,giovanni,stet,meint,florenz,ministerpräsident_silvio_berlusconi,eni,kontrolliert,sizili,forza_italia,umberto,zweit,fazio,luigi,palermo,staatsprasident,gilt,europas,azeglio,zunach,gehor,lira,zusamm,iri,hand,intesa,lamberto,italia,roberto,nachd,christdemokrat,bring,genua,ti,letzt,sudtirol,partn,schwer,fernseh,generali,pietro
 ,0.088,0.077,0.052,0.028,0.018,0.015,0.009,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001
topic146,einzelhandel,handel,geschaft,metro,umsatz,mark,karstadt,kund,quell,filial,brauerei,handl,verkauf,lad,verbrauch,grupp,dusseldorf,bier,discount,warenhaus,hde,einzelhandl,einkauf,wal,cola,rew,koln,brau,mart,kett,brunn,supermarkt,getrank,verkauft,coca,aldi,kaufhaus,weihnachtsgeschaft,hamburg,kaufhof,branch,karstadtquell,geschaftsfuhr,sortiment,ess,schuh,preis,edeka,hauptverband,oetk,dos,spar,absatz,dosenpfand,offnungszeit,boss,ladenschluss,handelskonz,deutschen_einzelhandels,angebot,pfand,lidl,eroffnet,korb,douglas,praktik,setzt,produkt,gehor,baumarkt,escada,mod,eroffn,flasch,dortmund,rabatt,haus,franchis,holst,bundesweit,versandhandel,hl,tengelmann,schickedanz,real,plus,wettbewerb,kauf,sb,handelskett,versand,ladenschlussgesetz,konsument,hort,verkaufsflach,konzept,neb,lebensmittel,heinek,herstell
 ,0.017,0.016,0.014,0.012,0.011,0.011,0.011,0.011,0.01,0.01,0.009,0.008,0.008,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic147,bors,frankfurt,handel,akti,anleg,gehandelt,option,deutsche_börse,nasdaq,geschaft,euronext,wert,deutschen_börse,derivat,investor,lse,nys,terminbors,futur,london,wertpapi,bank,brok,eurex,finanzplatz,optionsschein,ad,elektron,xetra,borsengang,kurs,exchang,kapitalmarkt,kontrakt,notiert,hoc,handeln,handl,bislang,verkauf,privatanleg,angebot,call,marktteilnehm,finanzmarkt,kur,aktienmarkt,parkett,papi,emittent,chicago,liquiditat,syst,londoner_börse,wertpapierbors,start,ord,makl,deutsche_börse_ag,transaktion,put,genannt,preis,trad,wertpapierhandel,interess,ros,segment,borsennotiert,abwickl,dax,handelsplatz,notier,einfuhr,market,zud,neuen_markt,gelistet,borsenaufsicht,sec,main,aktienhandel,schein,freiverkehr,plattform,new_york,direkt,liff,neb,taglich,insid,kauf,indiz,amerikan,gering,kleinanleg,regionalbors,handelsvolum,handelt,francioni
 ,0.065,0.024,0.019,0.016,0.013,0.011,0.009,0.008,0.008,0.007,0.007,0.007,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic148,januar,dezemb,oktob,novemb,septemb,termin,beginn,ursprung,verschob,verschieb,voraussicht,zunach,februar,frist,angekundigt,letzt,vorgeseh,endgult,spatest,anfang,verlangert,verzoger,start,juli,jahres,herb,zeitplan,erneut,fest,zweit,verlanger,fruhjahr,weihnacht,marz,abgeschloss,beginnt,vorbereit,rechn,zeitpunkt,danach,stattfind,verzogert,fruhest,datum,dahin,begonn,lauft,beschloss,festgelegt,wahrschein,kommenden_jahres,genannt,offiziell,teilt,lauf,kundigt,ende_januar,vergangenen_jahres,angesetzt,ende_oktober,ende_november,jahreswechsel,bisher,juni,ende_des_jahres,phas,statt,ende_september,mindest,ablauf,moglicherweis,bislang,endet,beendet,vorleg,vorlauf,wart,gesetzt,genau,vereinbart,gerechnet,rechtzeit,verzog,kommend,abschliess,anfang_dezember,entschied,mitte_dezember,verschiebt,nachd,zeitlich,rechnet,vorerst,erstmal,kommenden_jahr,spat,bestatigt,anfang_oktober,gegeb,anfang_november
 ,0.052,0.045,0.042,0.041,0.03,0.022,0.019,0.018,0.017,0.016,0.015,0.013,0.013,0.011,0.011,0.011,0.01,0.009,0.009,0.009,0.009,0.009,0.008,0.008,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic149,dm,frankfurt,main,pfennig,leicht,zeigt,plus,fixing,kass,fest,je,geschaft,handel,stieg,behauptet,fiel,tendiert,va,schwach,notiert,zog,verlor,dusseldorf,gehandelt,blieb,amtlich,bzw,bundesbank,commerzbank,niedrig,legt,freundlich,schloss,nachmittag,lira,minus,stell,ergab,verbessert,wobei,ruhig,vwd,unverandert,genannt,ews,knapp,sprach,handl,betrug,stamm,saldo,vortag,erneut,uneinheit,kam,erholt,millionen_dm,vorzug,wert,daiml,uberwieg,zuletzt,tendenz,ging,auslandsanleih,hiess,kur,ebenfall,pfund_sterling,prasentiert,sta,mittelkur,sz,verandert,gegenub,wag,gold,zuruckgenomm,peseta,hielt,aufgrund,meist,französische_franc,stand,nachd,ibis,vormittag,sank,ecu,stellt,hoech,verbilligt,ruckt,festgestellt,kaum,gesucht,gering,mannesmann,kraftig,rentenmarktindex
 ,0.231,0.07,0.018,0.013,0.01,0.009,0.008,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic150,geschaft,weltweit,wachstum,marktanteil,umsatz,wachs,wettbewerb,branch,ausbau,anbiet,steig,konz,gewinn,konkurrent,marktfuhr,konkurrenz,asi,mark,bereich,expansion,numm,vergangenen_jahr,strategi,zukauf,konzern,global,kund,fuhrend,akquisition,produkt,setzt,ziel,zweistell,ubernahm,anteil,position,marg,verstarkt,wachsend,ausgebaut,wach,mittelfrist,tocht,segment,erreich,vorstandschef,langfrist,kraftig,jahrlich,deutschen_markt,vertrieb,hart,rendit,spart,nächsten_jahren,zunehm,erfolgreich,baut,sixt,geschaftsfeld,wachstumsrat,strateg,verdoppeln,liegt,investi,ausland,nordamerika,investiert,europas,wachstumsmarkt,kommenden_jahren,profiti,prasenz,investition,vergangenen_jahren,servic,kooperation,osteuropa,konzentri,drittel,erzielt,erziel,heimatmarkt,zuletzt,plant,expandi,platz,erschliess,konzentration,gewachs,ausserhalb,management,erwirtschaftet,konzentriert,trend,zuleg,weltmarkt,ehrgeiz,aggressiv,konsolidier
 ,0.026,0.021,0.02,0.018,0.017,0.013,0.011,0.011,0.011,0.01,0.01,0.009,0.009,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic151,china,chines,peking,hongkong,chinas,taiwan,schanghai,tibet,ausland,asi,provinz,shanghai,volksrepubl,fuhrung,menschenrecht,yuan,berichtet,chen,jiang_zemin,li,bezieh,wang,kommunist,li_peng,dalai_lama,lee,westlich,dissident,taipeh,taiwanes,volksrepublik_china,offiziell,asiat,volkskongress,platz,unabhang,staatlich,reich_der_mitte,lokal,jiang,zhu_rongji,hu_jintao,wu,wei,chinesische_regierung,welt,wachsend,besuch,betrachtet,qian,kp,million,aussenministerium,stabilitat,demokrati,ministerprasident,hu,bau,wen_jiabao,behord,tung,parteichef_jiang_zemin,fuhrend,beitritt,insel,deng,national,liu,direkt,gong,erstmal,chinesischen_markt,zhu,spannung,kronkoloni,deng_xiaoping,amtlich,nachrichtenagentur_xinhua,milliard,festland,stadt,aktivitat,parteichef,mao,shui,fuhr,region,angeleg,qich,daily,falun,shenzh,yang,tang,zhang,juni,and,zitiert,beobacht,hui
 ,0.141,0.069,0.059,0.031,0.03,0.022,0.01,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
topic152,ol,opec,olpreis,dollar,preis,lit,shell,barrel,je,bp,benzin,tankstell,rohol,raffineri,erdol,pipelin,gas,weltweit,benzinpreis,produktion,forder,cent,energi,diesel,nachfrag,taglich,roholpreis,erdgas,gestieg,olkonzern,erhoh,heizol,pro,brent,millionen_barrel,reserv,kraftstoff,exxon,olkonz,fass,millionen_tonnen,aral,iea,expert,knapp,mobil,total,steig,elf,kostet,kartell,saudi,sort,dea,erreicht,steigend,olmarkt,hamburg,verbrauch,hoch,angesicht,konzern,arabi,tank,niedrig,welt,oil,tonn,nordse,erhoht,olforder,million,liefer,esso,durchschnitt,olfeld,milliard,olgesellschaft,olminist,organisation_erdöl_exportierender_länder,leicht,autofahr,petroleum,royal_dutch,liegt,fordermeng,sup,abhang,station,feld,gefall,rohstoff,zuletzt,london,wti,ford,treibstoff,olreserv,erschliess,kapazitat
 ,0.034,0.022,0.022,0.018,0.018,0.016,0.014,0.014,0.013,0.01,0.009,0.009,0.007,0.007,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic153,mann,mal,bild,mensch,hand,paar,aug,kopf,erzahlt,leut,gesicht,rot,stund,seh,haus,blau,minut,frau,lieb,leb,nacht,journalist,ja,blick,morg,herr,kolleg,sitzt,fragt,arm,grau,steht,voll,vielleicht,sag,haar,platz,erinnert,kommt,wirkt,schwarz,lasst,gleich,wort,weiss,einfach,himmel,freund,meist,hor,tur,alt,saal,dunkl,wer,nie,manchmal,stolz,vorbei,wiss,wand,sitz,fahrt,arbeit,freundlich,stimm,red,hort,licht,tragt,herz,kalt,strass,spricht,drauss,fahr,welt,plotzlich,bissch,anzug,lacheln,ruft,gast,gefuhl,gar,fuss,gerad,schliesslich,letzt,heisst,schaut,geseh,ruhig,gern,lach,oben,sass,still,fenst,kameras
 ,0.011,0.007,0.007,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001
topic154,herstell,gerat,infineon,intel,sony,weltweit,comput,nokia,philips,munch,pc,handy,dell,konz,digital,bereich,geschaft,motorola,technologi,elektron,chip,chips,handys,verkauft,grundig,hp,million,amd,halbleit,hewlett,spart,packard,unterhaltungselektron,compaq,mobiltelefon,mobil,produktion,pier,dvd,benq,branch,nachfrag,chipherstell,samsung,verkauf,umsatz,fernseh,produkt,entwickl,marktanteil,absatz,electronics,preis,fabrik,ericsson,prozessor,schnell,konzern,konkurrent,epcos,fujitsu,fertig,technik,ifa,elektronikkonz,rechn,loew,werk,toshiba,entwickelt,kodak,agfa,cd,standard,bauelement,industri,medizintechn,druck,multimedia,produzent,computerherstell,high,speicherchips,weltgrosst,sbs,bild,pcs,kommunikation,lcd,notebook,bildschirm,system,preisverfall,telekommunikation,setzt,modell,siemens_ag,anbiet,bring,fernsehgerat
 ,0.022,0.02,0.015,0.014,0.011,0.011,0.011,0.01,0.01,0.01,0.009,0.008,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic155,daiml,bmw,chrysl,ford,fahrzeug,autos,opel,gm,herstell,daimlerchrysl,motor,modell,auto,autoherstell,stuttgart,werk,pkw,general_motors,absatz,mark,verkauft,rov,produktion,autobau,renault,konz,verkauf,toyota,klass,smart,autoindustri,schrempp,zulief,nissan,detroit,nutzfahrzeug,einheit,handl,amerikan,autokonz,marktanteil,russelsheim,million,wag,tocht,vda,automobilindustri,automobil,automobilherstell,weltweit,lkw,konzern,produziert,fabrik,fiat,autokonzern,jürgen_schrempp,volvo,peugeot,mitsubishi,mini,iaa,kleinwag,automarkt,gelandewag,zetsch,car,diesel,gebaut,neuzulass,fertig,gottschalk,japan,band,debis,nordamerika,stuck,kund,group,neuwag,honda,vergangenen_jahr,saab,psa,delphi,astra,automotiv,cord,dieter_zetsche,kerkorian,konkurrent,bau,westeuropa,ps,milberg,pank,kfz,jaguar,nachfrag,benz_ag
 ,0.033,0.028,0.028,0.025,0.018,0.018,0.017,0.016,0.014,0.013,0.013,0.011,0.011,0.01,0.01,0.01,0.01,0.009,0.009,0.009,0.008,0.008,0.008,0.008,0.008,0.007,0.007,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001
topic156,turkei,turkisch,ankara,griechisch,pkk,kurd,kurdisch,ath,istanbul,griechenland,turk,zyp,ocalan,verbot,ministerprasident,insel,fuhr,nordirak,erbakan,griech,ecevit,cill,kurdistan,unterstutz,simitis,arbeiterpartei_kurdistans,republ,geteilt,nord,abdullah_öcalan,islamist,mitglied,zyprisch,grenz,papandreou,aussenminist,zypern,berichtet,akp,türkische_regierung,rp,kampf,denktasch,staatsprasident,tansu_ciller,zollunion,beginn,unabhang,dyp,bulent,ankaras,militar,gefuhrt,anerkannt,zeitung,region,nikosia,recht,separatist,recep_tayyip_erdogan,bislang,suleyman,diyarbakir,ziel,konflikt,provinz,jung,mind,arbeiterpartei_pkk,menschenrecht,mesut,kostas,abdullah,konservativ,nachrichtenagentur_anadolu,wiederverein,mitgliedschaft,losung,nationalist,anap,vertret,anerkenn,droht,parlament,sud,journalist,agais,beweg,premi,nachd,mittelmeerinsel,aufnahm,national,aussenministerium,regierung_in_ankara,beitrittsverhandl,zypr,puk,spannung,rauf
 ,0.099,0.074,0.029,0.024,0.024,0.023,0.018,0.017,0.017,0.017,0.011,0.01,0.008,0.006,0.006,0.006,0.006,0.005,0.005,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
topic157,nato,militar,allianz,konflikt,aussenminist,aussenpolit,bundnis,einsatz,brussel,russland,fried,generalsekretar,amerikan,verteidigungsminist,krieg,sicherheitspolit,luftangriff,angriff,diplomat,westlich,erweiter,auss,ziel,trupp,partn,gemeinsam,ksze,rat,unterstutz,solana,beteil,partnerschaft,washington,weu,verbundet,treff,aktion,verteid,balkan,robertson,kris,mitglied,bezieh,strateg,atlant,west,eingreif,javier_solana,osterweiter,albright,plan,zusammenarbeit,bedroh,perry,bosni,intervention,haltung,botschaft,stabilitat,bekraftigt,transatlant,wort,engagement,aufnahm,mitgliedschaft,mittel,roll,friedenstrupp,hauptquarti,schutz,bedeut,general,westeuropa,strategi,entschloss,entsend,operation,kolleg,streitkraft,vorgeh,kreis,aufgab,betont,aufbau,gipfel,bemuh,europas,georg,claes,klar,bodentrupp,ost,schnell,jugoslawi,militareinsatz,kalten_krieges,initiativ,zivil,zustimm,humanitar
 ,0.127,0.03,0.015,0.015,0.015,0.013,0.011,0.011,0.011,0.01,0.01,0.01,0.009,0.009,0.008,0.008,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic158,botschaft,entfuhr,geiseln,entfuhrt,freilass,journalist,diplomat,mann,verschleppt,grupp,freigelass,gewalt,verlass,berichtet,aussenministerium,festgehalt,kontakt,vertret,behord,gebracht,zunach,schicksal,geiselnehm,geisel,vermisst,geiselnahm,gefang,rebell,angehor,forder,bekannt,zuvor,verhandl,genomm,hiess,bestatigt,darunt,mitarbeit,hand,report,befind,philippin,befreit,ausland,mitglied,jahrig,stund,samstag,famili,frau,leb,teilt,verlangt,kidnapp,offenbar,wollt,hauptstadt,bemuh,angeb,unklar,befreiung,unbekannt,ubergeb,vermittl,handelt,austausch,insel,information,uberblick,losegeld,video,gedroht,residenz,aktion,ort,nah,amerikan,unterdess,jolo,erpress,auswärtige_amt,inhaftiert,wallert,bewaffnet,ultimatum,westlich,ausreis,zusamm,erklar,liess,befand,auswärtigen_amtes,sofort,lima,gesetzt,geiselhaft,konsulat,abend,gebet,flucht
 ,0.043,0.023,0.021,0.018,0.017,0.013,0.012,0.01,0.009,0.008,0.008,0.007,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic159,vergangenen_jahr,gestieg,durchschnitt,anteil,knapp,ruckgang,erreicht,vorjahr,gegenub,leicht,trotz,entwickl,gesunk,anstieg,sogar,stieg,erhoht,gering,steigend,trend,hoch,niedrig,vergleich,ging,zunehm,lieg,steig,zuruckgegang,liegt,drittel,zuwach,verzeichnet,sank,rucklauf,pro,statist,vergang,laut,zunahm,nachfrag,besond,niveau,steiger,zugenomm,sinkend,erheb,schnitt,quot,registriert,stabil,weiterhin,betrug,rechnet,wachsend,verringert,anhalt,verzeichn,zuruckzufuhr,ledig,viertel,drastisch,vergangenen_jahren,steigt,blieb,zuvor,verstarkt,nahezu,fuhrt,dennoch,kraftig,verdoppelt,ursach,doppelt,geleg,tendenz,aufgrund,sink,wert,relativ,rechn,allein,konstant,rekord,uberdurchschnitt,vergleich_zum_vorjahr,zwolf,kontinui,sinkt,meist,zuwachs,obwohl,dramat,angestieg,geblieb,gleichzeit,stetig,profitiert,angesicht,berichtet,unverandert
 ,0.03,0.028,0.025,0.025,0.021,0.019,0.017,0.017,0.016,0.015,0.014,0.014,0.013,0.013,0.013,0.012,0.012,0.011,0.011,0.011,0.01,0.01,0.01,0.01,0.009,0.009,0.009,0.009,0.008,0.008,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic160,euro,akti,borsengang,frankfurt,papi,neuen_markt,wert,kur,bors,notiert,knapp,gest,mlp,zuletzt,main,mdax,zud,nemax,anleg,finanzdienstleist,emission,legt,rtr,tocht,awd,verlor,ag,ausgabepreis,preisspann,kapitalerhoh,zufolg,nachfrag,neuemission,analyst,vorstandschef,kostet,start,je,erlos,gelistet,liegt,fielmann,setzt,lieg,preis,ipo,aktienkur,platziert,platzier,zeichnungsfrist,tecdax,zeitweis,titel,millionen_euro,erstnotiz,spann,sdax,dax,bekannt,frankfurter_börse,privatanleg,plus,millionen_aktien,erfolgreich,plant,verkauf,uberzeichnet,konkurrent,spezialist,aktuell,kass,gehandelt,verkauft,zeichn,neue_markt,stuck,anteilsschein,unt,ausgegeb,konsortialfuhr,hingeg,sprung,zahlt,startet,neuen_marktes,streubesitz,emissionspreis,borsenneuling,borsenkandidat,neuer_markt,steig,hoch,marz,dienstleist,schlecht,neun,ober,conergy,oben,sieb
